C,C,C,C,W,W,W,R,R,R,R,R,W,L,L,L,L,L,W,W,S,S,S,0
C,C,C,C,C,W,W,R,R,R,R,R,W,L,L,L,L,L,W,W,S,S,S,1
C,CN,C,C,C,W,W,R,RN,R,R,R,W,LL,LN,L,L,L,W,W,S,SN,S,2
C,C,C,C,C,W,W,R,R,R,R,R,W,L,L,L,L,L,W,W,S,S,S,3
C,C,C,CR,W,W,W,R,RD,R,R,R,W,L,L,L,L,L,W,W,SL,S,S,4
W,W,W,W,W,W,W,W,W,W,W,W,W,W,L,LD,L,W,W,W,S,S,S,5
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,6
W,B,B,B,B,B,B,W,W,X,X,X,X,X,X,X,W,H,H,H,HU,H,H,7
W,B,B,B,B,B,B,W,W,X,X,X,X,X,X,X,W,H,H,H,H,H,H,8
B,B,B,B,B,B,BR,W,W,X,X,X,X,X,X,X,W,HL,H,HN,H,H,H,9
B,B,BN,B,B,B,BR,W,W,X,X,X,X,X,X,X,W,HL,H,H,H,H,H,10
B,B,B,B,B,B,BR,W,W,X,X,X,X,X,X,X,W,H,H,H,H,H,H,11
W,B,B,B,B,B,B,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,12
W,B,B,B,BD,B,B,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,13
W,W,W,W,W,W,W,W,W,D,D,DU,D,D,D,W,W,W,W,W,W,W,W,14
W,W,W,W,W,W,W,W,W,D,D,D,D,D,D,W,W,W,OL,O,O,O,O,15
K,K,K,K,K,K,W,W,W,D,D,D,D,D,D,W,W,W,O,O,O,O,O,16
K,K,K,K,K,KR,W,W,D,D,D,D,D,D,DR,W,W,W,O,O,O,O,O,17
K,K,KN,K,K,K,W,W,D,D,DN,D,D,D,D,W,W,W,O,ON,O,O,O,18
K,K,K,K,K,K,W,W,D,D,D,D,D,D,D,W,W,W,O,O,O,O,O,19
K,K,K,K,K,K,W,W,D,D,D,D,D,D,D,W,W,W,O,O,O,O,O,20
K,K,K,K,K,K,W,W,D,D,D,D,D,D,D,W,W,W,O,O,O,O,O,21
